               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094141,            0.021764,            0.044462,             0.24067,                   0,                   0,                   0,                   0,            0.078851,            0.027451,            0.041783,             0.19348,             4.3e-05,             4.3e-05,            0.095743
                   1,              0.0798,            0.018673,            0.041799,             0.19597,                   0,                   0,                   0,                   0,            0.079198,            0.027056,            0.041366,             0.19572,          8.6999e-05,          8.6999e-05,            0.091387
                   2,            0.071912,            0.019795,            0.040704,             0.19458,                   0,                   0,                   0,                   0,            0.083325,            0.025676,            0.041528,             0.19727,            0.000131,            0.000131,            0.087031
                   3,            0.066332,            0.020448,             0.04006,             0.19403,                   0,                   0,                   0,                   0,            0.064574,            0.029306,             0.03908,             0.19475,          0.00017499,          0.00017499,            0.082675
                   4,            0.060136,            0.020834,            0.039192,             0.19345,                   0,                   0,                   0,                   0,             0.06123,            0.029025,            0.038149,              0.1943,          0.00021897,          0.00021897,            0.078319
                   5,            0.056241,            0.020601,            0.038925,             0.19281,                   0,                   0,                   0,                   0,            0.056439,            0.028838,            0.039065,              0.1942,          0.00026295,          0.00026295,            0.073963
                   6,            0.053349,            0.020044,            0.037345,             0.19311,                   0,                   0,                   0,                   0,             0.06559,            0.026783,            0.035945,             0.19294,          0.00030691,          0.00030691,            0.069607
                   7,            0.051429,            0.019274,            0.036126,             0.19329,            0.020444,            0.097222,            0.014256,           0.0090516,            0.060616,            0.025399,            0.037643,             0.19362,          0.00035086,          0.00035086,            0.065251
                   8,            0.049053,             0.01861,             0.03496,             0.19299,             0.55922,             0.16667,            0.087605,            0.047433,            0.050728,            0.027656,            0.031563,             0.19301,           0.0003948,           0.0003948,            0.060895
                   9,            0.047736,             0.01809,            0.033699,              0.1931,             0.10937,             0.52894,             0.15729,             0.08934,            0.049854,            0.026548,            0.033919,              0.1923,          0.00043872,          0.00043872,            0.056539
                  10,             0.04431,            0.017077,            0.031067,             0.19328,             0.33504,             0.37759,             0.30125,               0.188,             0.04978,            0.028031,            0.029457,              0.1923,          0.00048262,          0.00048262,            0.052183
                  11,            0.042973,            0.016222,            0.029259,             0.19367,             0.21069,             0.81838,             0.36719,              0.1638,            0.041758,            0.022897,            0.026755,             0.19329,           0.0005265,           0.0005265,            0.047826
                  12,            0.041803,            0.014194,            0.028174,             0.19336,             0.43814,             0.61811,             0.33138,             0.18532,            0.039406,            0.021653,             0.02217,             0.19322,          0.00057035,          0.00057035,             0.04347
                  13,            0.042256,            0.014425,             0.02538,             0.19419,             0.46869,             0.60725,             0.30791,             0.12869,            0.038173,            0.022117,            0.021058,             0.19361,          0.00061418,          0.00061418,            0.039114
                  14,            0.041118,            0.013205,            0.024277,             0.19381,             0.26153,             0.81474,             0.31764,              0.1611,            0.042966,            0.030189,             0.02245,             0.19495,          0.00065798,          0.00065798,            0.034758
                  15,            0.039201,            0.011935,             0.02257,             0.19417,             0.38715,             0.80299,             0.47909,             0.24189,            0.041458,            0.020469,            0.017843,             0.19574,          0.00070175,          0.00070175,            0.030402
                  16,            0.039773,            0.010981,            0.020902,             0.19398,             0.37978,             0.33246,             0.15098,            0.048154,            0.045047,             0.02527,            0.025238,             0.19515,          0.00074549,          0.00074549,            0.026045
                  17,            0.036962,            0.010698,            0.019331,             0.19428,             0.28037,             0.64996,             0.30541,             0.11836,            0.037849,            0.017684,            0.017049,             0.19534,           0.0007892,           0.0007892,            0.021689
                  18,              0.0365,            0.010352,              0.0179,             0.19298,             0.48063,             0.82648,             0.60579,             0.29392,            0.034751,            0.014889,            0.016009,             0.19513,          0.00083287,          0.00083287,            0.017333
                  19,            0.037399,            0.010326,            0.016455,             0.19049,             0.33585,             0.74858,             0.46173,             0.24979,            0.045299,             0.02103,            0.023959,             0.19479,           0.0008765,           0.0008765,            0.012976
                  20,            0.038274,            0.010142,            0.015617,             0.19317,             0.46552,             0.78548,              0.5856,             0.29326,            0.038121,            0.021968,            0.017844,             0.19452,          0.00092009,          0.00092009,           0.0086201
                  21,            0.036288,           0.0095944,            0.015853,             0.19356,             0.51089,              0.7854,              0.6791,             0.28365,            0.032748,            0.018222,            0.016295,             0.19401,          0.00096364,          0.00096364,           0.0042636
                  22,            0.039136,           0.0094757,            0.015729,             0.19351,             0.57353,             0.80765,             0.65617,             0.29495,            0.033793,            0.018503,            0.013616,             0.19306,          0.00099618,          0.00099618,          0.00099618
                  23,            0.034988,           0.0091727,            0.014773,              0.1933,             0.12494,             0.19427,             0.13252,            0.059529,             0.07253,            0.025867,            0.097009,             0.19426,          0.00099618,          0.00099618,          0.00099618
                  24,            0.034877,           0.0090676,            0.015613,              0.1933,             0.25021,            0.047009,             0.13899,            0.041718,            0.057267,            0.039373,            0.051173,             0.19318,          0.00099583,          0.00099583,          0.00099583
                  25,            0.033559,           0.0086348,            0.014627,             0.19278,             0.44139,             0.90402,             0.63218,             0.33471,            0.035979,            0.024364,            0.013458,             0.19312,          0.00099546,          0.00099546,          0.00099546
                  26,            0.032468,           0.0084856,            0.014541,             0.19242,             0.41662,             0.82277,             0.64125,             0.35727,            0.029202,            0.017015,            0.012179,             0.19262,          0.00099508,          0.00099508,          0.00099508
