               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073473,             0.03732,            0.030512,             0.40424,                   0,                   0,                   0,                   0,            0.053336,            0.053641,            0.023244,             0.18028,             1.1e-05,             1.1e-05,            0.098911
                   1,            0.051094,            0.022042,             0.02366,             0.16565,                   0,                   0,                   0,                   0,            0.033399,            0.071346,            0.021847,             0.13526,             2.3e-05,             2.3e-05,            0.097723
                   2,            0.042395,            0.022552,            0.023009,             0.13418,                   0,                   0,                   0,                   0,            0.031796,            0.070706,            0.021196,             0.12774,             3.5e-05,             3.5e-05,            0.096535
                   3,             0.04032,            0.021871,            0.023295,             0.12973,                   0,                   0,                   0,                   0,            0.032792,            0.066135,            0.021061,             0.12846,          4.6999e-05,          4.6999e-05,            0.095347
                   4,            0.040121,            0.020901,            0.022879,             0.13005,                   0,                   0,                   0,                   0,            0.031075,            0.067404,            0.021144,             0.12886,          5.8997e-05,          5.8997e-05,            0.094159
                   5,            0.037532,            0.021389,            0.022364,             0.12922,                   0,                   0,                   0,                   0,            0.034508,            0.063428,            0.021257,             0.12887,          7.0995e-05,          7.0995e-05,            0.092971
                   6,            0.036395,            0.020411,            0.022193,              0.1293,                   0,                   0,                   0,                   0,            0.034857,            0.065055,            0.021375,             0.12921,          8.2991e-05,          8.2991e-05,            0.091783
                   7,            0.034746,            0.020292,            0.021973,             0.12894,                   0,                   0,                   0,                   0,            0.035298,            0.065612,            0.021419,             0.12975,          9.4986e-05,          9.4986e-05,            0.090595
                   8,            0.036525,            0.019138,            0.023205,             0.12793,                   0,                   0,                   0,                   0,            0.034894,            0.068544,            0.021628,             0.12996,          0.00010698,          0.00010698,            0.089407
                   9,            0.035209,            0.018752,            0.023554,             0.12901,                   0,                   0,                   0,                   0,            0.034972,            0.070684,            0.021845,             0.13006,          0.00011897,          0.00011897,            0.088219
                  10,            0.033061,             0.01725,            0.022046,             0.12878,                   0,                   0,                   0,                   0,            0.033304,            0.072653,            0.022042,             0.12958,          0.00013096,          0.00013096,            0.087031
